2026-06-27 09:31:05 | INFO     | screening_cache | [CACHE] Loaded 7 entries from disk in 0.000s
2026-06-27 09:31:05 | INFO     | payroll_manager | Initializing PayrollManager...
2026-06-27 09:31:05 | INFO     | payroll_manager | PayrollManager initialized.
2026-06-27 09:31:05 | INFO     | task_router | ============================================================
2026-06-27 09:31:05 | INFO     | task_router | Initializing TaskRouter...
2026-06-27 09:31:05 | INFO     | model_provider | Initializing AI Model Provider...
2026-06-27 09:31:05 | INFO     | model_provider |   Model: deepseek-v4-flash
2026-06-27 09:31:05 | INFO     | model_provider |   Base URL: https://api.deepseek.com
2026-06-27 09:31:05 | INFO     | model_provider | Loaded prompts for 4 features
2026-06-27 09:31:05 | INFO     | embedding_mgr | ============================================================
2026-06-27 09:31:05 | INFO     | embedding_mgr | Initializing EmbeddingManager...
2026-06-27 09:31:05 | INFO     | version_manager | Initializing VersionManager...
2026-06-27 09:31:05 | INFO     | version_manager |   Metadata dir: F:\Kyle\Coding\ESG_HRMS\data\metadata
2026-06-27 09:31:05 | INFO     | version_manager |   Archive dir: F:\Kyle\Coding\ESG_HRMS\data\archive
2026-06-27 09:31:05 | INFO     | embedding_mgr | Embedding Manager initialized (model loads on first use)
2026-06-27 09:31:05 | INFO     | embedding_mgr | ============================================================
2026-06-27 09:31:05 | INFO     | task_router | TaskRouter initialized in 0.00s
2026-06-27 09:31:05 | INFO     | task_router | ============================================================
2026-06-27 09:31:05 | INFO     | development_manager | Initializing DevelopmentManager...
2026-06-27 09:31:05 | INFO     | development_manager | \u2713 EmbeddingManager available for full skill extraction
2026-06-27 09:31:05 | INFO     | development_manager | DevelopmentManager initialized.
INFO:     Started server process [13588]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     Uvicorn running on https://0.0.0.0:8443 (Press CTRL+C to quit)
2026-06-27 09:31:13 | INFO     | __main__ | [GET] /api/health ¡ú 200 in 0.00s
2026-06-27 09:31:23 | INFO     | __main__ | [GET] /api/health ¡ú 200 in 0.00s
2026-06-27 09:31:33 | INFO     | __main__ | [GET] /api/health ¡ú 200 in 0.00s
2026-06-27 09:31:37 | INFO     | __main__ | [GET] /api/employees ¡ú 200 in 0.00s
2026-06-27 09:31:37 | INFO     | __main__ | [GET] /api/employees ¡ú 200 in 0.00s
2026-06-27 09:31:38 | INFO     | __main__ | [GET] /api/leave/requests/pending ¡ú 200 in 0.00s
2026-06-27 09:31:38 | INFO     | __main__ | [GET] /api/attendance/daily ¡ú 200 in 0.00s
2026-06-27 09:31:43 | INFO     | __main__ | [GET] /api/health ¡ú 200 in 0.00s
2026-06-27 09:31:46 | INFO     | payroll_manager | Calculating salary for EMP001 ¡ª 2026-06
2026-06-27 09:31:46 | INFO     | payroll_manager |   Gross salary: 135,000 | Deductions: absent=0.0, late=0.0, half_day=0.0, leave=0.0
2026-06-27 09:31:46 | INFO     | __main__ | [GET] /api/payroll/EMP001 ¡ú 200 in 0.02s
2026-06-27 09:31:53 | INFO     | __main__ | [GET] /api/health ¡ú 200 in 0.00s
2026-06-27 09:31:55 | INFO     | payroll_manager | Generating salary adjustment suggestion for EMP001
2026-06-27 09:31:55 | INFO     | __main__ | [GET] /api/payroll/EMP001/adjustment ¡ú 200 in 0.00s
2026-06-27 09:32:03 | INFO     | __main__ | [GET] /api/health ¡ú 200 in 0.00s
